uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:adertypes,skos:Collection,adertypes,,,Collectie van adertypes.,,,,,,,,,,,,,cs,adertype,,,,,,
ct:18,skos:Concept,18,colt:adertypes,,anhydriet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:9,skos:Concept,9,colt:adertypes,,blende,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:22,skos:Concept,22,colt:adertypes,,blinkend / kolig / bitumineus,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:8,skos:Concept,8,colt:adertypes,,breccie,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:12,skos:Concept,12,colt:adertypes,,calciet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:23,skos:Concept,23,colt:adertypes,,chalcopyriet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:5,skos:Concept,5,colt:adertypes,,dicht met carbonaat,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:3,skos:Concept,3,colt:adertypes,,dicht met kwarts,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:13,skos:Concept,13,colt:adertypes,,dolomiet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:10,skos:Concept,10,colt:adertypes,,galeniet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:7,skos:Concept,7,colt:adertypes,,gemengd,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:17,skos:Concept,17,colt:adertypes,,gips,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:19,skos:Concept,19,colt:adertypes,,haliet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:14,skos:Concept,14,colt:adertypes,,hatchettiet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:1,skos:Concept,1,colt:adertypes,,kaoliniet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:21,skos:Concept,21,colt:adertypes,,klei (groen),,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:15,skos:Concept,15,colt:adertypes,,kwarts,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:20,skos:Concept,20,colt:adertypes,,mangaan,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:16,skos:Concept,16,colt:adertypes,,milleriet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:0,skos:Concept,0,colt:adertypes,,onbepaald,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:4,skos:Concept,4,colt:adertypes,,open met carbonaat,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:2,skos:Concept,2,colt:adertypes,,open met kwarts,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:11,skos:Concept,11,colt:adertypes,,pyriet,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
ct:6,skos:Concept,6,colt:adertypes,,sulfide,,,,,,,,,,,,,cs:adertype,,,,,,,cs:adertype
