uri,dc.identifier,notation,prefLabel,closeMatch,definition,inScheme,topConceptOf
conceptscheme:adertype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.adertype,,lijst met adertypes,,"",,
concept:AN,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.AN,AN,anhydriet,http://inspire.ec.europa.eu/codelist/LithologyValue/gypsumOrAnhydrite,"Ader gevuld met anhydriet, de ongehydrateerde variant van het evaporitische mineraal gips.",conceptscheme:adertype,conceptscheme:adertype
concept:BL,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.BL,BL,blende,,"Ader gevuld met zinkblende (sfaleriet, zinksulfide).",conceptscheme:adertype,conceptscheme:adertype
concept:BI,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.BI,BI,kolig / bitumineus,,"Ader gevuld met materiaal een met verhoogd gehalte organische stof.",conceptscheme:adertype,conceptscheme:adertype
concept:BR,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.BR,BR,breccie,,"Ader gevuld met breccie, bestaande uit hoekige steenfragmenten in een fijnere matrix.",conceptscheme:adertype,conceptscheme:adertype
concept:CA,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.CA,CA,calciet,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/calcite,"Ader gevuld met calciet, kristallijn calciumcarbonaat. ",conceptscheme:adertype,conceptscheme:adertype
concept:CH,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.CH,CH,chalcopyriet,,"Ader gevuld met chalcopyriet (koperijzersulfide).",conceptscheme:adertype,conceptscheme:adertype
concept:CD,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.CD,CD,dicht met carbonaat,,"Ader gevuld met carbonaat, volledig dichtgegroeid. ",conceptscheme:adertype,conceptscheme:adertype
concept:KD,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KD,KD,dicht met kwarts,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,"Ader gevuld met kwarts (kristallijn siliciumdioxide), volledig dichtgegroeid.",conceptscheme:adertype,conceptscheme:adertype
concept:DO,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.DO,DO,dolomiet,http://inspire.ec.europa.eu/codelist/LithologyValue/dolomite,"Ader gevuld met dolomiet (calciummagnesiumcarbonaat).",conceptscheme:adertype,conceptscheme:adertype
concept:GA,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.GA,GA,galeniet,,"Ader gevuld met galeniet (loodsulfide).",conceptscheme:adertype,conceptscheme:adertype
concept:GE,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.GE,GE,gemengd,,"Ader gevuld met meerdere bestanddelen.",conceptscheme:adertype,conceptscheme:adertype
concept:GI,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.GI,GI,gips,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/gypsum,"Ader gevuld met gips (gehydrateerd calciumsulfaat).",conceptscheme:adertype,conceptscheme:adertype
concept:HA,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.HA,HA,haliet,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/salt,"Ader gevuld met haliet (steenzout, natriumchloride).",conceptscheme:adertype,conceptscheme:adertype
concept:HT,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.HT,HT,hatchettiet,,"Ader gevuld met hatchettiet (mineraal koolwaterstof).",conceptscheme:adertype,conceptscheme:adertype
concept:KA,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KA,KA,kaoliniet,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/kaolin,"Ader gevuld met kaoliniet, een verweerd wit kleimineraal.",conceptscheme:adertype,conceptscheme:adertype
concept:KL,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KL,KL,klei (groen),,"Ader gevuld met klei.",conceptscheme:adertype,conceptscheme:adertype
concept:KW,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KW,KW,kwarts,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,"Ader gevuld met kwarts (kristallijn siliciumdioxide).",conceptscheme:adertype,conceptscheme:adertype
concept:MA,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.MA,MA,mangaan,,"Ader gevuld met mangaanmineralen.",conceptscheme:adertype,conceptscheme:adertype
concept:MI,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.MI,MI,milleriet,,"Ader gevuld met milleriet (nikkelsulfide).",conceptscheme:adertype,conceptscheme:adertype
concept:ON,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.ON,ON,onbepaald,,"Ader gevuld met onbepaalde bestanddelen.",conceptscheme:adertype,conceptscheme:adertype
concept:CO,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.CO,CO,open met carbonaat,,"Ader deels gevuld met carbonaat, met open holtes. ",conceptscheme:adertype,conceptscheme:adertype
concept:KO,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KO,KO,open met kwarts,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,"Ader deels gevuld met kwarts (kristallijn siliciumdioxide), met open holtes. ",conceptscheme:adertype,conceptscheme:adertype
concept:PY,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.PY,PY,pyriet,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pyrite,"Ader gevuld met pyriet (ijzersulfide).",conceptscheme:adertype,conceptscheme:adertype
concept:SU,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.SU,SU,sulfide,,"Ader gevuld met sulfidemineralen.",conceptscheme:adertype,conceptscheme:adertype
